aaa1,"Aardewerk enz. Pos.A, M"
vec1,"Verkeerswezen Pos.C, M"
ved1,"Verkeerswezen Pos.D, M"
vez1,"Verkeerswezen Pos.C/D, M"
via1,"Visserij en Jacht Pos.A, M"
vib1,"Visserij en Jacht Pos.B, M"
vic1,"Visserij en Jacht Pos.C, M"
vid1,"Visserij en Jacht Pos.D, M"
viz1,"Visserij en Jacht Pos.C/D, M"
voa1,"Voedings- en genotmiddelen Pos.A, M"
vob1,"Voedings- en genotmiddelen Pos.B, M"
voc1,"Voedings- en genotmiddelen Pos.C, M"
vod1,"Voedings- en genotmiddelen Pos.D, M"
voz1,"Voedings- en genotmiddelen Pos.C/D, M"
vza1,"Verzekeringswezen Pos.A, M"
vzb1,"Verzekeringswezen Pos.B, M"
vzc1,"Verzekeringswezen Pos.C, M"
vzd1,"Verzekeringswezen Pos.D, M"
vzz1,"Verzekeringswezen Pos.C/D, M"
waa1,"Handel Pos.A, M"
wab1,"Handel Pos.B, M"
wac1,"Handel Pos.C, M"
wad1,"Handel Pos.D, M"
waz1,"Handel Pos.C/D, M"
pwx1,"% werklozen op de totale manlijke beroepsbevolking, M"
bwer,Beroepsbevolking werkend in gemeente
bwon,Beroepsbevolking woonachtig in gemeente
pihn,Percentage van beroepsbevolking in handel
pihu,Percentage van beroepsbevolking in huiselijke diensten
pitr,Percentage van beroepsbevolking in transport
pivb,Perc. van beroepsbev. in vrije ber. en maatsch. dienstverl.
pive,Perc. van beroepsbevolking in bank- en verzekeringswezen
pewz,Werkg en zelfst (incl vrije ber) als perc van beroepsbev
phib,Handarbeiders als percentage van beroepsbevolking in gem.
pibe,Beroepsbev. als perc. van de totale bev. tussen 14-64 jaar
piss,Percentage van beroepsbevolking in dienstensector
plib,In loondienst als percentage van totale beroepsbevolking
pmlo,Percentage van beroepsbevolking met alleen lager onderwijs
pmmh,Percentage van beroepsbev. met middelbaar en hoger onderwijs
pmvl,Perc. van beroepsbevolking met voortgezet lager onderwijs
mea1,"Metaalbewerking enz. Pos.A, M"
meb1,"Metaalbewerking enz. Pos.B, M"
mec1,"Metaalbewerking enz. Pos.C, M"
med1,"Metaalbewerking enz. Pos.D, M"
mwa1,"Metalen (winnen en eerste bew. van), steenkool enz. Pos.A, M"
mwb1,"Metalen (winnen en eerste bew. van), steenkool enz. Pos.B, M"
mwc1,"Metalen (winnen en eerste bew. van), steenkool enz. Pos.C, M"
mwd1,"Metalen (winnen en eerste bew. van), steenkool enz. Pos.D, M"
paa1,"Papier enz. Pos.A, M"
pab1,"Papier enz. Pos.B, M"
pac1,"Papier enz. Pos.C, M"
pad1,"Papier enz. Pos.D, M"
vla1,"Verlichting (excl. fabrikage van olie, enz.) Pos.A, M"
vlb1,"Verlichting (excl. fabrikage van olie, enz.) Pos.B, M"
vlc1,"Verlichting (excl. fabrikage van olie, enz.) Pos.C, M"
vld1,"Verlichting (excl. fabrikage van olie, enz.) Pos.D, M"
aad1,"Aardewerk enz. Pos.D, M"
aaz1,"Aardewerk enz. Pos.C/D, M"
boz1,"Drukkersbedrijven Pos.C/D, M"
buz1,"Bouwbedrijven enz. Pos.C/D, M"
chz1,"Chemische nijverheid Pos.C/D, M"
diz1,"Diamant Pos.C/D, M"
hoz1,"Houtbewerking Pos.C/D, M"
klz1,"Kleding enz. Pos.C/D, M"
kuz1,"Kunstnijverheid Pos.C/D, M"
lez1,"Leder enz. Pos.C/D, M"
mez1,"Metaalbewerking enz. Pos.C/D, M"
mia1,"Mijnen, veenderij Pos.A, M"
mib1,"Mijnen, veenderij Pos.B, M"
mic1,"Mijnen, veenderij Pos.C, M"
mid1,"Mijnen, veenderij Pos.D, M"
miz1,"Mijnen, veenderij Pos.C/D, M"
paz1,"Papier enz. Pos.C/D, M"
bcx1,"""blue collar"" beroep (excl. landarbeiders), M"
gzx1,"Gepensioneerd zonder beroep, M"
hex1,"Hogere employes, M"
ldx1,"In loondienst, M"
lmec,Medewerkende echtgenotes
lmed,Medewerkende dochters in de landbouw
lmwg,Landarbeiders en medewerkende gezinsleden in de landbouw
lmzd,Medewerkende zoons en dochters in de landbouw
lwer,Landarbeiders
qax1,"14-34, met beroep, gevestigd sinds 1965, M"
qbx1,"14-34, met beroep, M"
qcx1,"25-34, met beroep en opl. op semi-hoger en hoger nivo, M"
qdx1,"25-34, met beroep en opleiding op basis en lager nivo, M"
qex1,"25-34, met beroep, M"
qfx1,"25-64, arbeiders, met een inkomen lager dan 12000 gulden, M"
qgx1,"25-64, met beroep, M"
qhx1,"45-64, met beroep en opleiding op basis nivo, M"
qix1,"45-64, met beroep, M"
qjx1,"Met beroep, M"
sme2,"Samenwonend met echtgenoot, V"
sml2,"Samenwonend met echtgenoot en in loondienst, V"
smz2,"Samenwonend met echtgenoot en zelfstandig, V"
tnw1,"Tijdelijk niet-werkend, M"
wcx1,"""white collar"" beroep, M"
wfv1,"Woonforensen met vrij ber. of hogere middelbare employes, M"
zvr1,"Zelfstandige vrije beroepen, M"
a1et,"Aardewerk,Glas,Kalk,Stenen; in vest.51-200 pers."
a1ev,"Aardewerk,Glas,Kalk,Stenen; in vest.11-50 pers."
a1mv,"Aardewerk,Glas,Kalk,Stenen; in vest.>500 pers."
a1th,"Aardewerk,Glas,Kalk,Stenen; in vest.201-500 pers."
a1tv,"Aardewerk,Glas,Kalk,Stenen; in vest.2-5 pers."
a1zk,"Aardewerk,Glas,Kalk,Stenen; in vest. zonder krachtwerktuigen"
a1zt,"Aardewerk,Glas,Kalk,Stenen; in vest.6-10 pers."
a2ee,"Aardewerk,Glas,Kalk,Stenen; vest. met 51-200 pers."
a2el,"Aardewerk,Glas,Kalk,Stenen; vest. met 11-50 pers."
a2me,"Aardewerk,Glas,Kalk,Stenen; vest. met >500 pers."
a2ne,"Aardewerk,Glas,Kalk,Stenen; vest. met 0-1 pers."
a2st,"Aardewerk,Glas,Kalk,Stenen; vest."
a2te,"Aardewerk,Glas,Kalk,Stenen; vest. met 201-500 pers."
a2tw,"Aardewerk,Glas,Kalk,Stenen; vest. met 2-5 pers."
a2ze,"Aardewerk,Glas,Kalk,Stenen; vest. met 6-10 pers."
a2zo,"Aardewerk,Glas,Kalk,Stenen; vest. zonder krachtwerktuigen"
apkm,"Aardewerk,Glas,Kalk,Stenen; aantal pk van elektromotoren"
apkp,"Aardewerk,Glas,Kalk,Stenen; pk van prim. k.w. (excl. e.m.)"
awep,"Aardewerk,Glas,Kalk,Stenen; werkzame personen"
awev,"Aardewerk,Glas,Kalk,Stenen; werkzame V"
b1et,Bouw en aanverwante bedrijven; in vest. 51-200 pers.
b1ev,Bouw en aanverwante bedrijven; in vest. 11-50 pers.
b1mv,Bouw en aanverwante bedrijven; in vest. >500 pers.
b1th,Bouw en aanverwante bedrijven; in vest. 201-500 pers.
b1tv,Bouw en aanverwante bedrijven; in vest.i2-5 pers.
b1zk,Bouw en aanverwante bedr.; in vest. zonder krachtwerktuigen
b1zt,Bouw en aanverwante bedrijven; in vest. 6-10 pers.
b2ee,Bouw en aanverwante bedrijven; vest. met 51-200 pers.
b2el,Bouw en aanverwante bedrijven; vest. met 11-50 pers.
b2me,Bouw en aanverwante bedrijven; vest. met >500 pers.
b2ne,Bouw en aanverwante bedrijven; vest. met 0-1 pers.
b2st,Bouw en aanverwante bedrijven; vest.
b2te,Bouw en aanverwante bedrijven; vest. met 201-500 pers.
b2tw,Bouw en aanverwante bedrijven; vest. met 2-5 pers.
b2ze,Bouw en aanverwante bedrijven; vest. met 6-10 pers.
b2zo,Bouw en aanverwante bedrijven; vest. zonder krachtwerktuigen
bpkm,Bouw en aanverwante bedrijven; aantal pkvan elektromotoren
bpkp,Bouw en aanverwante bedr.; aantal pk van prim. kw (excl. em)
bwep,Bouw en aanverwante bedrijven; werkzame personen
bwev,Bouw en aanverwante bedrijven; werkzame V
c1et,Chemische Nijverheid; in vest. 51-200 pers.
c1ev,Chemische Nijverheid; in vest. 11-50 pers.
c1mv,Chemische Nijverheid; in vest. >500 pers.
c1th,Chemische Nijverheid; in vest. 201-500 pers.
c1tv,Chemische Nijverheid; in vest. 2-5 pers.
c1zk,Chemische Nijverheid; in vest. zonder krachtwerktuigen
c1zt,Chemische Nijverheid; in vest. 6-10 pers.
c2ee,Chemische Nijverheid; vest. met 51-200 pers.
c2el,Chemische Nijverheid; vest. met 11-50 pers.
c2me,Chemische Nijverheid; vest. met >500 pers.
c2ne,Chemische Nijverheid; vestigingen met 0-1 pers.
c2st,Chemische Nijverheid; vest.
c2te,Chemische Nijverheid; vest. met 201-500 pers.
c2tw,Chemische Nijverheid; vest. met 2-5 pers.
c2ze,Chemische Nijverheid; vest. met 6-10 pers.
c2zo,Chemische Nijverheid; vest. zonder krachtwerktuigen
cpkm,Chemische Nijverheid; aantal pk van elektromotoren
cpkp,Chemische Nijverheid; aantal pk van prim kw excl. el.motoren
cwep,Chemische Nijverheid; werkzame personen
cwev,Chemische Nijverheid; werkzame V
e1et,Diamant en andere edelstenen; in vest. 51-200 pers.
e1ev,Diamant en andere edelstenen; in vest. 11-50 pers.
e1mv,Diamant en andere edelstenen; in vest. >500 pers.
e1th,Diamant en andere edelstenen; in vest. 201-500 pers.
e1tv,Diamant en andere edelstenen; in vest. 2-5 pers.
e1zk,Diamant en andere edelstenen; in vest. zonder krachtw.
e1zt,Diamant en andere edelstenen; in vest. 6-10 pers.
e2ee,Diamant en andere edelstenen; vest. met 51-200 pers.
e2el,Diamant en andere edelstenen; vest. met 11-50 pers.
e2me,Diamant en andere edelstenen; vest. met >500 personen
e2ne,Diamant en andere edelstenen; vest. met 0-1 pers.
e2st,Diamant en andere edelstenen; vest.
e2te,Diamant en andere edelstenen; vest. met 201-500 pers.
e2tw,Diamant en andere edelstenen; vest. met 2-5 pers.
e2ze,Diamant en andere edelstenen; vest. met 6-10 pers.
e2zo,Diamant en andere edelstenen; vest. zonder krachtwerktuigen
epkm,Diamant en andere edelstenen; aantal pk van elektromotoren
epkp,Diamant en andere edelstenen; aant pk van prim kw excl. e.m.
ewep,Diamant en andere edelstenen; werkzame personen
ewev,Diamant en andere edelstenen; werkzame V
g1et,"Grafische bedrijven, Fotografie; in vest. 51-200 pers."
g1ev,"Grafische bedrijven, Fotografie; in vest. 11-50 pers."
g1mv,"Grafische bedrijven, Fotografie; in vest. >500 pers."
g1th,"Grafische bedrijven, Fotografie; in vest. 201-500 pers."
g1tv,"Grafische bedrijven, Fotografie; in vest. 2-5 pers."
g1zk,"Grafische bedrijven, Fotografie; in vest. zonder krachtw."
g1zt,"Grafische bedrijven, Fotografie; in vest. 6-10 pers."
g2ee,"Grafische bedrijven, Fotografie; vest. met 51-200 pers."
g2el,"Grafische bedrijven, Fotografie; vest. met 11-50 pers."
g2me,"Grafische bedrijven, Fotografie; vest. met >500 pers."
g2ne,"Grafische bedrijven, Fotografie; vest. met 0-1 pers."
g2st,"Grafische bedrijven, Fotografie; vest."
g2te,"Grafische bedrijven, Fotografie; vest. met 201-500 pers."
g2tw,"Grafische bedrijven, Fotografie; vest. met 2-5 pers."
g2ze,"Grafische bedrijven, Fotografie; vest. met 6-10 pers."
g2zo,"Grafische bedr., Fotografie; vest. zonder krachtwerktuigen"
gpkm,"Grafische bedrijven, Fotografie; aant pk van elektromotoren"
gpkp,"Grafische bedr., Fotografie; aant pk van prim kw excl. e.m."
gwep,"Grafische bedrijven, Fotografie; werkzame personen"
gwev,"Grafische bedrijven, Fotografie; werkzame V"
i1et,"Hout, Kurk, Stro; in vest. 51-200 pers."
i1ev,"Hout, Kurk, Stro; in vest. 11-50 pers."
i1mv,"Hout, Kurk, Stro; in vest. >500 pers."
i1th,"Hout, Kurk, Stro; in vest. 201-500 pers."
i1tv,"Hout, Kurk, Stro; in vest.2-5 pers."
i1zk,"Hout, Kurk, Stro; in vest. zonder krachtwerktuigen"
i1zt,"Hout, Kurk, Stro; in vest. 6-10 pers."
i2ee,"Hout, Kurk, Stro; vest. met 51-200 pers."
i2el,"Hout, Kurk, Stro; vest. met 11-50 pers."
i2me,"Hout, Kurk, Stro; vest. met >500 pers."
i2ne,"Hout, Kurk, Stro; vest. met 0-1 pers."
i2st,"Hout, Kurk, Stro; vest."
i2te,"Hout, Kurk, Stro; vest. met 201-500 pers."
i2tw,"Hout, Kurk, Stro; vest. met 2-5 pers."
i2ze,"Hout, Kurk, Stro; vest. met 6-10 pers."
i2zo,"Hout, Kurk, Stro; vest. zonder krachtwerktuigen"
ipkm,"Hout, Kurk, Stro; aantal pk van elektromotoren"
ipkp,"Hout, Kurk, Stro; aant pk van prim krachtw excl. el.motoren"
iwep,"Hout, Kurk, Stro; werkzame personen"
iwev,"Hout, Kurk, Stro; werkzame V"
j1et,Kleding en reiniging; in vest. 51-200 pers.
j1ev,Kleding en reiniging; in vest. 11-50 pers.
j1mv,Kleding en reiniging; in vest. >500 pers.
j1th,Kleding en reiniging; in vest. 201-500 pers.
j1tv,Kleding en reiniging; in vest. 2-5 pers.
j1zk,Kleding en reiniging; in vest. zonder krachtwerktuigen
j1zt,Kleding en reiniging; in vest. 6-10 pers.
j2ee,Kleding en reiniging; vest. met 51-200 pers.
j2el,Kleding en reiniging; vest. met 11-50 pers.
j2me,Kleding en reiniging; vest. met >500 pers.
j2ne,Kleding en reiniging; vest. met 0-1 pers.
j2st,Kleding en reiniging; vestigingen
j2te,Kleding en reiniging; vest. met 201-500 pers.
j2tw,Kleding en reiniging; vest. met 2-5 pers.
j2ze,Kleding en reiniging; vest. met 6-10 personen
j2zo,Kleding en reiniging; vest. zonder krachtwerktuigen
jpkm,Kleding en reiniging; aantal pk van elektromotoren
jpkp,Kleding en reiniging; aant pk van prim krachtw excl. e.m.
jwep,Kleding en reiniging; werkzame personen
jwev,Kleding en reiniging; werkzame V
k1et,Kunstnijverheid; in vest. 51-200 pers.
k1ev,Kunstnijverheid; in vest. 11-50 pers.
k1mv,Kunstnijverheid; in vest. >500 pers.
k1th,Kunstnijverheid; in vest. 201-500 pers.
k1tv,Kunstnijverheid; in vest. 2-5 pers.
k1zk,Kunstnijverheid; in vest. zonder krachtwerktuigen
k1zt,Kunstnijverheid; in vest. 6-10 pers.
k2ee,Kunstnijverheid; vest. met 51-200 pers.
k2el,Kunstnijverheid; vest. met 11-50 pers.
k2me,Kunstnijverheid; vest. met >500 pers.
k2ne,Kunstnijverheid; vest. met 0-1 pers.
k2st,Kunstnijverheid; vest.
k2te,Kunstnijverheid; vest. met 201-500 pers.
k2tw,Kunstnijverheid; vest. met 2-5 pers.
k2ze,Kunstnijverheid; vest. met 6-10 pers.
k2zo,Kunstnijverheid; vest. zonder krachtwerktuigen
kpkm,Kunstnijverheid; aantal pk van elektromotoren
kpkp,Kunstnijverheid; aant pk van prim krachtw excl. el.motoren
kwep,Kunstnijverheid; werkzame personen
kwev,Kunstnijverheid; werkzame V
l1et,"Leder, Wasdoek, Rubber; in vest. 51-200 pers."
l1ev,"Leder, Wasdoek, Rubber; in vest. 11-50 pers."
l1mv,"Leder, Wasdoek, Rubber; in vest. >500 pers."
l1th,"Leder, Wasdoek, Rubber; in vest. 201-500 pers."
l1tv,"Leder, Wasdoek, Rubber; in vest. 2-5 pers."
l1zk,"Leder, Wasdoek, Rubber; in vest. zonder krachtwerktuigen"
l1zt,"Leder, Wasdoek, Rubber; in vest. 6-10 pers."
l2ee,"Leder, Wasdoek, Rubber; vest. met 51-200 pers."
l2el,"Leder, Wasdoek, Rubber; vest. met 11-50 pers."
l2me,"Leder, Wasdoek, Rubber; vest. met >500 pers."
l2ne,"Leder, Wasdoek, Rubber; vest. met 0-1 pers."
l2st,"Leder, Wasdoek, Rubber; vest."
l2te,"Leder, Wasdoek, Rubber; vest. met 201-500 pers."
l2tw,"Leder, Wasdoek, Rubber; vest. met 2-5 pers."
l2ze,"Leder, Wasdoek, Rubber; vest. met 6-10 pers."
l2zo,"Leder, Wasdoek, Rubber; vest. zonder krachtwerktuigen"
lpkm,"Leder, Wasdoek, Rubber; aantal pk van elektromotoren"
lpkp,"Leder, Wasdoek, Rubber; aant pk der prim krachtw excl. e.m."
lwep,"Leder, Wasdoek, Rubber; werkzame personen"
lwev,"Leder, Wasdoek, Rubber; werkzame V"
n1et,"Oer, Steenkolen, Turf; in vest. 51-200 pers."
n1ev,"Oer, Steenkolen, Turf; in vest. 11-50 pers."
n1mv,"Oer, Steenkolen, Turf; in vest. >500 pers."
n1th,"Oer, Steenkolen, Turf; in vest. 201-500 pers."
n1tv,"Oer, Steenkolen, Turf; in vest. 2-5 pers."
n1zk,"Oer, Steenkolen, Turf; in vest. zonder krachtwerktuigen"
n1zt,"Oer, Steenkolen, Turf; in vest. 6-10 pers."
n2ee,"Oer, Steenkolen, Turf; vest. met 51-200 pers."
n2el,"Oer, Steenkolen, Turf; vest. met 11-50 pers."
n2me,"Oer, Steenkolen, Turf; vest. met >500 pers."
n2ne,"Oer, Steenkolen, Turf; vest. met 0-1 pers."
n2st,"Oer, Steenkolen, Turf; vest."
n2te,"Oer, Steenkolen, Turf; vest. met 201-500 pers."
n2tw,"Oer, Steenkolen, Turf; vest. met 2-5 pers."
n2ze,"Oer, Steenkolen, Turf; vest. met 6-10 pers."
n2zo,"Oer, Steenkolen, Turf; vest. zonder krachtwerktuigen"
npkm,"Oer, Steenkolen, Turf; aantal pk van elektromotoren"
npkp,"Oer, Steenkolen, Turf; aant pk van prim kw excl. el.motoren"
nwep,"Oer, Steenkolen, Turf; werkzame personen"
nwev,"Oer, Steenkolen, Turf; werkzame V"
d1et,Krediet- en Bankwezen; in vest. 51-200 pers.
d1ev,Krediet- en Bankwezen; in vest. 11-50 pers.
d1mv,Krediet- en Bankwezen; in vest. >500 pers.
d1th,Krediet- en Bankwezen; in vest. 201-500 pers.
d1tv,Krediet- en Bankwezen; in vest. 2-5 pers.
d1zk,Krediet- en Bankwezen; in vest. zonder krachtwerktuigen
d1zt,Krediet- en Bankwezen; in vest. 6-10 pers.
d2ee,Krediet- en Bankwezen; vest. met 51-200 pers.
d2el,Krediet- en Bankwezen; vest. met 11-50 pers.
d2me,Krediet- en Bankwezen; vest. met >500 pers.
d2ne,Krediet- en Bankwezen; vest. met 0-1 pers.
d2st,Krediet- en Bankwezen; vest.
d2te,Krediet- en Bankwezen; vest. met 201-500 pers.
d2tw,Krediet- en Bankwezen; vest. met 2-5 pers.
d2ze,Krediet- en Bankwezen; vest. met 6-10 pers.
d2zo,Krediet- en Bankwezen; vest. zonder krachtwerktuigen
dpkm,Krediet- en Bankwezen; aantal pk van elektromotoren
dpkp,Krediet- en Bankwezen; aant pk van prim kw excl. el.motoren
dwep,Krediet- en Bankwezen; werkzame personen
dwev,Krediet- en Bankwezen; werkzame V
f1et,Gas en Electriciteit; in vest. 51-200 pers.
f1ev,Gas en Electriciteit; in vest. 11-50 pers.
f1mv,Gas en Electriciteit; in vest. >500 pers.
f1th,Gas en Electriciteit; in vest. 201-500 pers.
f1tv,Gas en Electriciteit; in vest. 2-5 pers.
f1zk,Gas en Electriciteit; in vest. zonder krachtwerktuigen
f1zt,Gas en Electriciteit; in vest. 6-10 pers.
f2ee,Gas en Electriciteit; vest. met 51-200 pers.
f2el,Gas en Electriciteit; vest. met 11-50 pers.
f2me,Gas en Electriciteit; vest. met >500 pers.
f2ne,Gas en Electriciteit; vest. met 0-1 pers.
f2st,Gas en Electriciteit; vest.
f2te,Gas en Electriciteit; vest. met 201-500 pers.
f2tw,Gas en Electriciteit; vest. met 2-5 pers.
f2ze,Gas en Electriciteit; vest. met 6-10 pers.
f2zo,Gas en electriciteit; vest. zonder krachtwerktuigen
fpkm,Gas en Electriciteit; aantal pk van elektromotoren
fpkp,Gas en Electriciteit; aant pk van prim kw excl. el.motoren
fwep,Gas en Electriciteit; werkzame personen
fwev,Gas en Electriciteit; werkzame V
h1et,Handel; in vest. 51-200 pers.
h1ev,Handel; in vest. 11-50 pers.
h1mv,Handel; in vest. >500 pers.
h1th,Handel; in vest. 201-500 pers.
h1tv,Handel; in vest. 2-5 pers.
h1zk,Handel; in vest. zonder krachtwerktuigen
h1zt,Handel; in vest. 6-10 pers.
h2ee,Handel; vest. met 51-200 pers.
h2el,Handel; vest. met 11-50 pers.
h2me,Handel; vest. met >500 pers.
h2ne,Handel; vest. met 0-1 pers.
h2st,Handel; vest.
h2te,Handel; vest. met 201-500 pers.
h2tw,Handel; vest. met 2-5 pers.
h2ze,Handel; vest. met 6-10 pers.
h2zo,Handel; vest. zonder krachtwerktuigen
hpkm,Handel; aantal pk van elektromotoren
hpkp,Handel; aant pk van primaire krachtw excl. elektromotoren
hwep,Handel; werkzame personen
hwev,Handel; werkzame V
m1et,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. 51-200 pers."
m1ev,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. 11-50 pers."
m1mv,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. >500 pers."
m1th,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. 201-500 pers."
m1tv,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. 2-5 pers."
m1zk,"Metaalnijv., Scheeps- en rijtuigbouw; in vest. zonder kw"
m1zt,"Metaalnijv., Scheeps- en ruituigbouw; in vest. 6-10 pers."
m2ee,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 51-200 pers."
m2el,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 11-50 pers."
m2me,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met >500 pers."
m2ne,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 0-1 pers."
m2st,"Metaalnijverheid, Scheeps- en rijtuigbouw; vestigingen"
m2te,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 201-500 pers"
m2tw,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 2-5 pers."
m2ze,"Metaalnijv., Scheeps- en rijtuigbouw; vest. met 6-10 pers."
m2zo,"Metaalnijv., Scheeps- en rijtuigbouw; vest. zonder kw"
mpkm,"Metaalnijverheid, Scheeps- en rijtuigbouw; aant pk van e.m."
mpkp,"Metaalnijv., Scheeps- en rijtuigbouw; pk van pr kw excl e.m."
mwep,"Metaalnijverheid, Scheeps- en rijtuigbouw; werkzame personen"
mwev,"Metaalnijverheid, Scheeps- en rijtuigbouw; werkzame V"
o1et,Overige bedrijven; in vest. 51-200 pers.
o1ev,Overige bedrijven; in vest. 11-50 pers.
o1mv,Overige bedrijven; in vest. >500 pers.
o1th,Overige bedrijven; in vest. 201-500 pers.
o1tv,Overige bedrijven; in vest. 2-5 pers.
o1zk,Overige bedrijven; in vest. zonder krachtwerktuigen
o1zt,Overige bedrijven; in vest. 6-10 pers.
o2ee,Overige bedrijven; vest. met 51-200 pers.
o2el,Overige bedrijven; vest. met 11-50 pers.
o2me,Overige bedrijven; vest. met >500 pers.
o2ne,Overige bedrijven; vest. met 0-1 pers.
